scenario_key,scenario_name,pd_multiplier,loans,exposure_at_default,expected_loss,expected_loss_rate,exposure_weighted_pd,exposure_weighted_lgd,expected_loss_change,expected_loss_relative_change,expected_loss_rate_change_pp
baseline,Baseline,1.0,907904,9510384856.440048,1295785611.7374904,0.1362495452389644,0.15268290449756644,0.893189620310423,0.0,0.0,0.0
moderate,Moderate Deterioration,1.25,907904,9510384856.440048,1619646645.7862504,0.17030295516269156,0.1908435644391552,0.893189620310423,323861034.04875994,0.2499341180478936,3.405340992372716
severe,Severe Deterioration,1.5,907904,9510384856.440048,1943507679.835005,0.20435636508641816,0.22900422438074192,0.893189620310423,647722068.0975146,0.4998682360957831,6.810681984745376
